[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:34:41.388270] Epoch : 0205 loss = 0.104937637
[2020-07-07 10:34:45.506114] Epoch : 0206 loss = 0.092625505
[2020-07-07 10:34:49.621059] Epoch : 0207 loss = 0.084526029
[2020-07-07 10:34:53.783944] Epoch : 0208 loss = 0.078121709
[2020-07-07 10:34:57.956337] Epoch : 0209 loss = 0.074010330
[2020-07-07 10:35:02.195479] Epoch : 0210 loss = 0.071300498
[2020-07-07 10:35:06.394408] Epoch : 0211 loss = 0.070771673
[2020-07-07 10:35:10.621743] Epoch : 0212 loss = 0.073690305
[2020-07-07 10:35:14.845187] Epoch : 0213 loss = 39.996858308
[2020-07-07 10:35:19.120314] Epoch : 0214 loss = 0.149387576
[2020-07-07 10:35:23.330748] Epoch : 0215 loss = 0.121447086
[2020-07-07 10:35:27.542263] Epoch : 0216 loss = 0.120819213
[2020-07-07 10:35:31.661277] Epoch : 0217 loss = 0.133434862
[2020-07-07 10:35:35.858150] Epoch : 0218 loss = 0.271766232
[2020-07-07 10:35:40.120397] Epoch : 0219 loss = 0.304142551
[2020-07-07 10:35:44.353275] Epoch : 0220 loss = 0.236770775
[2020-07-07 10:35:48.586911] Epoch : 0221 loss = 0.171754387
[2020-07-07 10:35:52.774259] Epoch : 0222 loss = 0.132179699
[2020-07-07 10:35:57.040542] Epoch : 0223 loss = 0.109067289
[2020-07-07 10:36:01.323700] Epoch : 0224 loss = 0.094779395
[2020-07-07 10:36:05.566328] Epoch : 0225 loss = 0.086330453
[2020-07-07 10:36:09.803682] Epoch : 0226 loss = 0.080404942
[2020-07-07 10:36:13.913433] Epoch : 0227 loss = 0.075749878
[2020-07-07 10:36:18.148285] Epoch : 0228 loss = 0.072212349
[2020-07-07 10:36:22.376267] Epoch : 0229 loss = 0.070454054
[2020-07-07 10:36:26.543270] Epoch : 0230 loss = 0.071430664
[2020-07-07 10:36:30.690774] Epoch : 0231 loss = 0.078228101
[2020-07-07 10:36:34.839329] Epoch : 0232 loss = 33.442298365
[2020-07-07 10:36:39.059020] Epoch : 0233 loss = 0.119694115
[2020-07-07 10:36:43.206309] Epoch : 0234 loss = 0.120229624
[2020-07-07 10:36:47.364654] Epoch : 0235 loss = 0.126810858
[2020-07-07 10:36:51.516957] Epoch : 0236 loss = 0.172960253
[2020-07-07 10:36:55.724730] Epoch : 0237 loss = 0.275751838
[2020-07-07 10:36:59.988711] Epoch : 0238 loss = 0.255903418
[2020-07-07 10:37:04.203936] Epoch : 0239 loss = 0.196312354
[2020-07-07 10:37:08.335600] Epoch : 0240 loss = 0.151170962
